RunName.reactor,SampleTimeID,RunName,Reactor,CatalystID,origin,support,catalyst,ActualTempBlock,reactorPressure,ratioCat2support,ratioPromTot2cat,p1,p2,p3,p4,p5,p6,p7,mass,CatalystBedLength,reductionTemp,meanConvCorrected,sdConvCorrected,ArgonArea,H2flow110,N2flow120,Arflow130,COflow140,CO2H2flow150,flow160,flow170,flow180,diluentN2flow300,ElapsedRunTime
20150213_OAN_FLOW_017#18#450#10,40450,20150213_OAN_FLOW_017,18,OAN-KNP00174,KNP,S1,C1,450,9.68999958,9,0.7,0,0,0,0,1,0,0,0.0128,1,85.02,0.423399433,0.006342463,1983636.2,90.01199951,30.13399963,19.90599975,0,0,0,0,0,639.9819824,60.6171196
20150213_OAN_FLOW_017#19#450#10,40451,20150213_OAN_FLOW_017,19,OAN-KNP00164,KNP,S1,C1,450.019989,10.56000042,8.2336,0.633,0,0,0,0,1,0,0,0.0224,1.3,85.02,0.277062998,0.010198727,1965262.4,90.00599976,29.84599953,19.99599991,0,0,0,0,0,639.9579834,60.69542542
20150213_OAN_FLOW_017#20#450#10,40404,20150213_OAN_FLOW_017,20,OAN-KNP00158,KNP,S1,C1,449.9899902,10.43000031,5,0.4,0,0,0,0,0,0,1,0.0173,1.5,85.02,0.207881375,0.020277672,1772170,89.98800049,30.15599975,19.88200035,0,0,0,0,0,640.0119995,60.77372971
20150213_OAN_FLOW_017#21#450#10,40261,20150213_OAN_FLOW_017,21,OAN-KNP00136,KNP,S4,C1,449.9899902,10.39999962,8.2336,0.633,0,0,0,1,0,0,0,0.0111,0.8,85.02,0.340255203,0.037879043,2161023.4,89.98200073,30.00600014,20.04399948,0,0,0,0,0,639.9940063,60.85203476
20150213_OAN_FLOW_017#22#450#10,40406,20150213_OAN_FLOW_017,22,OAN-KNP00176,KNP,S1,C1,450,10.72999954,10,0.1,0.5,0.5,0,0,0,0,0,0.0146,1.1,85.02,0.309872709,0.037384964,1899652.2,90,29.99400024,20,0,0,0,0,0,640.0240112,60.93033981
20150213_OAN_FLOW_017#23#450#10,40455,20150213_OAN_FLOW_017,23,OAN-KNP00156,KNP,S1,C1,450,10.36999989,5,0.7,0,0,0,0,0,1,0,0.01579,1.2,85.02,0.180189932,0.021455173,1851269.8,90,29.94999962,19.98199997,0,0,0,0,0,640.0120117,61.00864639
20150213_OAN_FLOW_017#24#450#10,40456,20150213_OAN_FLOW_017,24,OAN-KNP00116,KNP,S3,C1,449.9899902,10.22000027,9,0.7,0,0,0,0,0,1,0,0.0798,1.4,85.02,0.061337163,0.001130567,2060622.6,89.98800049,30.13799972,20.01000023,0,0,0,0,0,640.023999,61.08695068
20150213_OAN_FLOW_017#25#450#10,40457,20150213_OAN_FLOW_017,25,OAN-KNP00159,KNP,S1,C1,450,10.47000027,5,0.4,0.5,0,0,0,0.5,0,0,0.0103,0.8,85.02,0.374615925,0.115399762,2128126.4,90.01199951,30.03199997,20.00200005,0,0,0,0,0,640.0000122,61.16525269
20150213_OAN_FLOW_017#26#450#10,40458,20150213_OAN_FLOW_017,26,OAN-FIS00002,FIS,S2,C1,449.980011,10.23999977,2,0.9,0,1,0,0,0,0,0,0.0273,1.5,85.02,0.209220081,0.007612772,2048331,90.01199951,30.11800003,20.14000015,0,0,0,0,0,640.023999,61.24355774
20150213_OAN_FLOW_017#28#450#10,40268,20150213_OAN_FLOW_017,28,OAN-KNP00121,KNP,S3,C1,450.0100098,10.56000042,10,0.3162,0,1,0,0,0,0,0,0.0181,1,85.02,0.251545574,0.009118669,1951849.6,90,30.23200035,19.89000015,0,0,0,0,0,640.0060181,61.40016937
20150213_OAN_FLOW_017#29#450#10,40269,20150213_OAN_FLOW_017,29,OAN-KNP00122,KNP,S3,C1,449.9899902,10.09000015,10,0.1,0.5,0.5,0,0,0,0,0,0.0047,0.8,85.02,0,0,1778474,90.01499939,30.04250002,19.89750004,0,0,0,0,0,639.9624939,60.51740933
