reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
9.75,C2,S1,0.0083,10,20150129_OAN_FLOW_016#43#350#10,49.30168457,349.9899902,20150129_OAN_FLOW_016,OAN-DFK00411,0.1,DFK,2031864,0.5,30.04599991,0,,,,,0,640.0360108,,,,,,,,,,,,,,,,
10.32999992,C1,S2,0.0362,2,20150129_OAN_FLOW_016#44#350#10,49.37999038,349.9899902,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,1916979.4,0,29.83199997,1,,,,,0,640.0059937,,,,,,,,,,,,,,,,
10.28999996,C1,S1,0.0311,9,20150129_OAN_FLOW_016#46#350#10,49.5366005,350,20150129_OAN_FLOW_016,OAN-KNP00172,0.4,KNP,2019759.4,0,30.06199989,0,,,,,0,640.0059937,,,,,,,,,,,,,,,,
10.06000042,C2,S3,0.0136,9,20150129_OAN_FLOW_016#47#350#10,49.61490403,350.019989,20150129_OAN_FLOW_016,OAN-DFK00396,0.4,DFK,2025782.8,0,30.02400017,0,,,,,0,639.9819946,,,,,,,,,,,,,,,,
10.57999992,C2,S3,0.0177,5,20150129_OAN_FLOW_016#48#350#10,49.6932106,350,20150129_OAN_FLOW_016,OAN-DFK00397,0.7,DFK,2003323.4,0,30.0579998,0,,,,,0,640.0119995,,,,,,,,,,,,,,,,
10.13000011,C1,S4,0.0187,9,20150129_OAN_FLOW_016#6#400#10,69.14909299,399.9700012,20150129_OAN_FLOW_016,OAN-KNP00145,0.4,KNP,1950717.333,0,29.96999963,0,,,,,0,640.0150045,,,,,,,,,,,,,,,,
9.899999619,C1,S1,0.0209,9,20150129_OAN_FLOW_016#7#400#10,69.22739728,400,20150129_OAN_FLOW_016,OAN-KNP00171,0.4,KNP,1992158.667,0,30.08666611,0,,,,,0,639.9800008,,,,,,,,,,,,,,,,
10.39000034,C1,S2,0.0191,2,20150129_OAN_FLOW_016#8#400#10,69.30570157,399.9899902,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,2017742.667,0,29.96333345,1,,,,,0,639.9800008,,,,,,,,,,,,,,,,
10.18000031,C2,S3,0.0148,5,20150129_OAN_FLOW_016#10#400#10,69.4623127,400.019989,20150129_OAN_FLOW_016,OAN-DFK00391,0.7,DFK,1992640.333,0,29.96999995,0,,,,,0,639.969991,,,,,,,,,,,,,,,,
10.47999954,C2,S3,0.0268,9,20150129_OAN_FLOW_016#11#400#10,69.54061572,399.980011,20150129_OAN_FLOW_016,OAN-DFK00390,0.7,DFK,2064318.167,0,30.00000032,0,,,,,0,640.0049947,,,,,,,,,,,,,,,,
